Earth_x,Earth_y,Sun_x,Sun_y
-16112655120.943367,498755.54368138436,149490752405.55515,308245.4663579814
-18662997216.17587,506412.98108346004,149199329375.30966,316845.9120898195
-21207898688.87649,514054.08294116147,148864413144.35382,325576.9467581294
-23746618342.547874,521676.6238017575,148486106073.14755,334438.26302421483
-26278416942.02194,529278.3841014353,148064523134.94482,343429.51567929104
-28802557427.434208,536857.1508077611,147599791876.8993,352550.32176126586
-31318305127.382336,544410.7180596918,147092052377.56357,361800.26068234834
-33824927971.20896,551936.8878049571,146541457200.80093,371178.8743674295
-36321696700.34945,559433.4704346338,145948171346.1288,380685.6674031771
-38807885078.68557,566898.285414736,145312372195.51434,390320.10719778226
-41282770101.84658,574329.1619146443,144634249456.64362,400081.6241512946
-43745632205.39985,581723.939432201,143914005102.68668,409969.6118364785
-46195755471.873436,589080.4684152981,143151853308.5816,419983.4271901213
-48632427836.553825,596396.6108797885,142348020383.86172,430122.3907147202
-51054941292.00232,603670.2410235484,141502744702.05093,440385.78669047385
-53462592091.234344,610899.2458365266,140616276626.65298,450772.8633975007
-55854680949.50634,618081.5257066123,139688878433.76147,461282.83334820357
-58230513244.65556,625214.9950211579,138720824231.31802,471914.873529698
-60589399215.938705,632297.5827639949,137712399875.04697,482668.1256562192
-62930654161.31579,639327.2331077817,136663902881.09613,493541.69643142
-65253598633.12646,646301.906001524,135575642335.4131,504534.6578204693
-67557558632.10637,653219.5777531117,134447938799.8883,515646.04733185895
-69841865799.69203,660078.2416067173,133281124215.29619,526874.8683088244
-72105857608.5631,666875.9083149013,132075541801.06685,538220.0902302812
-74348877551.37158,673610.6067052744,130831545951.92136,549680.6490211796
-76570275327.60857,680280.3842415677,129549502131.40439,561255.4473721738
-78769407028.559,686883.3075789614,128229786762.3488,572943.3550685036
-80945635320.2965,693417.4631135296,126872787114.30736,584743.2093279825
-83098329624.6701,699880.9575256559,125478901187.98761,596653.8151479833
-85226866298.23639,706271.9183172787,124048537596.7264,608673.9456613126
-87330628809.09009,712588.4943428284,122582115445.04141,620802.3425008614
-89409007911.54802,718828.8563337177,121080064204.29764,633037.7161729186
-91461401818.64116,724991.1974162518,119542823585.52727,645378.7464390305
-93487216372.3706,731073.7336228241,117970843409.44232,657824.0827062901
-95485865211.68408,737074.704396268,116364583473.6797,670372.3444259353
-97456769938.13004,742992.373087236,114724513417.31915,683022.121500136
-99399360279.14737,748825.0274444786,113051112582.71503,695771.9746968459
-101313074248.94945,754570.9800979014,111344869874.68352,708620.4360725946
-103197358306.96175,760228.5690342762,109606283617.0874,721566.0094030944
-105051667513.77339,765796.1580654874,107835861406.86087,734607.1706215322
-106875465684.56337,771272.1372891967,106034119965.51782,747742.3682644184
-108668225539.96317,776654.9235418099,104201584988.18715,760970.0239248603
-110429428854.31813,781942.9608436339,102338790990.21931,774288.5327131277
-112158566601.31085,787134.7208361127,100446281151.40889,787696.2637243775
